"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"PCD-DB: Enhancing Popular Content Dissemination by Incentivizing V2X Cooperation Among Electric Vehicles Using DAG-Based Blockchain","C. Chen; Y. Li; J. Hu; Z. Liu; L. Cong; X. Deng; S. Wan","School of Telecommunications Engineering, Xidian University, Xi’an, China; School of Telecommunications Engineering, Xidian University, Xi’an, China; School of Telecommunications Engineering, Xidian University, Xi’an, China; Hangzhou Institute of Technology, Xidian University, Hangzhou, China; State Grid Jilin Province Electric Power Company Ltd., Changchun, China; School of Electronics and Information, Central South University, Changsha, China; Shenzhen Institute for Advanced Study, University of Electronic Science and Technology of China, Shenzhen, China",IEEE Transactions on Intelligent Transportation Systems,"16 Mar 2026","2026","27","3","3744","3760","Collaborative content dissemination enables vehicles to directly access content from surrounding nodes through Vehicle-to-Everything (V2X) technologies, such as Vehicle-to-Vehicle (V2V) or Vehicle-to-Infrastructure (V2I) communication. This approach significantly alleviates the downlink traffic burden on cellular network base stations caused by repeated downloading of popular content while addressing security challenges in electric vehicle (EV) charging operations, such as payment fraud and data tampering. A key yet unresolved challenge in content dissemination and EV charging is incentivizing vehicles to participate in collaborative processes voluntarily. Existing incentive mechanisms mainly rely on centralized architectures, which are vulnerable to single-point attacks and trust issues in third-party platforms. To overcome these limitations, we propose the PCD-DB (Popular Content Dissemination using DAG-based Blockchain) scheme, which uses a Directed Acyclic Graph (DAG)-based blockchain to incentivize V2X collaboration for dual applications: improving content dissemination efficiency and ensuring secure EV charging transactions. Our novel framework establishes a decentralized incentive system where vehicles act as content propagators or charging service providers, depending on their service capabilities. We define the propagation and charging capabilities of vehicles and use contract theory to design hierarchical contracts tailored to heterogeneous vehicle roles. Numerical results show that our decentralized incentive mechanism significantly improves the efficiency and profitability of vehicle content dissemination while ensuring the security of electric vehicle charging transactions, outperforming existing benchmark methods.","1558-0016","","10.1109/TITS.2025.3603911","National Natural Science Foundation of China(grant numbers:62072360,62172438); Key Research and Development Plan of Shaanxi Province(grant numbers:2021ZDLGY02-09,2023-GHZD-44,2023-ZDLGY-54); National Key Laboratory Foundation of China(grant numbers:2023-JCJQ-LB-007); Natural Science Foundation of Guangdong Province of China(grant numbers:2022A1515010988); Key Project on Artificial Intelligence of Xi’an Science and Technology Plan(grant numbers:23ZDCYJSGG0021-2022,23ZDCYYYCJ0008,23ZDCYJSGG0002-2023); Xidian-Universiti Tunku Abdul Rahman (UTAR) China Malaysia Science and Technology Institute-the Fundamental Research Funds for the Central Universities(grant numbers:XURF-2025-QTZX25065); Proof-of-Concept fund from Hangzhou Research Institute of Xidian University(grant numbers:GNYZ2023QC0201,GNYZ2024QC004,GNYZ2024QC015); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11152637","Popular content dissemination;vehicle-to-everything;incentive mechanism;directed acyclic graph;blockchain","Contracts;Blockchains;Vehicle dynamics;Electric vehicle charging;Contract management;Charging stations;Biological system modeling;Smart contracts;Peer-to-peer computing;Real-time systems","","2","","49","IEEE","5 Sep 2025","March 2026","","IEEE","IEEE Journals"
"Distributed Peer-to-Peer Coordination of Hierarchical Three-Phase Energy Transactions Among Electric Vehicle Charging Stations in Constrained Power Distribution and Urban Transportation Networks","X. Chen; X. Wang; M. Shahidehpour; L. Affolabi; Z. Lu; K. Li","School of Electrical Engineering, Xi’an Jiaotong University, Xi’an, Shaanxi, China; School of Electrical Engineering, Xi’an Jiaotong University, Xi’an, Shaanxi, China; Department of Electrical and Computer Engineering, Illinois Institute of Technology, Chicago, IL, USA; Department of Electrical and Computer Engineering, Illinois Institute of Technology, Chicago, IL, USA; School of Electrical Engineering, Xi’an Jiaotong University, Xi’an, Shaanxi, China; School of Electrical Engineering, Xi’an Jiaotong University, Xi’an, Shaanxi, China",IEEE Transactions on Transportation Electrification,"17 Jun 2024","2024","10","2","4407","4420","The electrical vehicle charging station (EVCS) paradigm will become more proactive progressively owing to the massive deployment of on-site distributed renewable energy (DRE) and battery energy storage systems (BESS). In this environment, the coordination of peer-to-peer (P2P) transactive energy (TE) trading among EVCSs would be a critical topic that would demand further investigation. This article proposes a hierarchical framework for the optimal P2P trading among EVCSs in constrained urban transportation networks (UTNs) and power distribution networks (PDNs). The UTN operation is incorporated through a multiperiod traffic flow assignment problem (MTAP), which is solved by the transportation system operator (TSO). After receiving the corresponding EV assignments, a P2P trading approach is considered among EVCSs, which would emphasize EVCS privacy while minimizing the TE trading cost. The trading results are subsequently delivered by EVCSs to the distribution system operator (DSO), which would solve a three-phase unbalanced optimal power flow to guarantee the secure PDN operation. If any PDN constraints are violated, a trading adjustment signal will be returned to each EVCS in an iterative process. Numerical experiments based on EVCSs located on a 12-node UTN and the modified IEEE 33-bus PDN validate the effectiveness of the hierarchical P2P coordination approach and solution methodology, where the total operation cost of EVCSS is reduced by 16.61%.","2332-7782","","10.1109/TTE.2023.3315398","Natural Science Foundation of Jiangsu Province, “Research on Frontier Basic Theory and Method of Security Defense for Power Systems with High-dimensional Uncertain Factors(grant numbers:BK20222003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10251469","Electric vehicle charging station (EVCS);hierarchical coordination;peer-to-peer (P2P) trading market;power distribution;urban transportation networks (UTNs)","Partial discharges;Transportation;Peer-to-peer computing;Costs;Indexes;Privacy;Electric vehicle charging","","15","","40","IEEE","14 Sep 2023","June 2024","","IEEE","IEEE Journals"
"Blockchain Power Trading and Energy Management Platform","Y. -J. Lin; Y. -C. Chen; J. -Y. Zheng; D. Chu; D. -W. Shao; H. -T. Yang","Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan; Wanbang New Energy Investment Group Company Ltd., Changzhou, China; Wanbang New Energy Investment Group Company Ltd., Changzhou, China; Wanbang New Energy Investment Group Company Ltd., Changzhou, China; Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan",IEEE Access,"26 Jul 2022","2022","10","","75932","75948","In this study, artificial intelligence, the Internet of things, and blockchain technology were combined to develop a vehicle-to-everything blockchain power trading and energy management platform with the objective of enabling multi-level power transactions for electric vehicle charging stations in or between commercial buildings. The proposed platform considers green power transactions across microgrids, bidirectional power and green power charging and discharging transactions in microgrids, demand response bidding, and vehicle-to-vehicle emergency rescue charging. This innovative architecture operates smart contracts and distributed ledgers independently; uses smart contracts to handle bidding, matching, and settlement of the power trading platform; and simultaneously employs the cloud and local distributed ledger nodes to chain the detailed real-time transaction information and power data on the ledger. In this manner, the security and fairness of data can be ensured; furthermore, a large amount of chaining information can be processed, and the chaining latency can be shortened. In addition, the communication protocols are integrated through the artificial intelligence of things. An energy management system (EMS) is proposed, which can perform optimal charging and discharging scheduling according to the power transaction matching results and then control charging piles and energy storage system devices. It can reduce the operating cost of microgrids in commercial buildings, increase the efficiency of green power utilization, and reduce power loss. In this system, power transactions are automatically and simultaneously executed in the EMS to achieve real-time supply and demand balance of regional microgrids.","2169-3536","","10.1109/ACCESS.2022.3189472","NCKU Research and Development Foundation, Taiwan(grant numbers:109S175); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9819921","Artificial intelligence;blockchain;distributed ledger;energy management system;Internet of Things;power trading;V2X blockchain platform","Blockchains;Microgrids;Electric vehicle charging;Power markets;Power generation;Smart contracts;Renewable energy sources","","50","","16","CCBY","7 Jul 2022","2022","","IEEE","IEEE Journals"
"Energizing Charging Services for Next-Generation Consumers E-Mobility With Reinforcement Learning and Blockchain","M. Moniruzzaman; A. Yassine; M. S. Hossain","ECE Department, Lakehead University, Thunder Bay, ON, Canada; Department of Software Engineering, Lakehead University, Thunder Bay, ON, Canada; Department of Software Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia",IEEE Transactions on Consumer Electronics,"29 Apr 2024","2024","70","1","2269","2280","Next-generation consumer electronics and electric vehicle (EV) energy charging technology promise transformative advancements in the automotive industry. One of the main challenges that hinders consumers’ experience is range anxiety particularly relevant in locales where the installation of fixed charging stations (FCSs) is beset by logistical hurdles, notably in rural regions. With the advancement of consumer electronics especially in the design of Mobile Charging Stations (MCSs), EV drivers can now access these MCSs to exchange energy. However, concerns regarding data security and the best strategies to select an MCS to trade energy may negatively impact consumer experiences. This paper delves into the conception of intelligent remedies by proposing the integration of reinforcement learning and blockchain technology to empower EV drivers to access and securely exchange energy with MCSs. We design a Proof of MCSs (PoMCS) as a consensus protocol to select the winning MCSs as block miners in the blockchain. The results of our experiment show that the average gain for the MCSs increases when using the proposed model and therefore inclined to serve more EVs.","1558-4127","","10.1109/TCE.2023.3345015","Researchers Supporting Project(grant numbers:RSP2024R32); King Saud University, Riyadh, Saudi Arabia; Natural Sciences and Engineering Research Council of Canada (NSERC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10366844","Next-gen consumer electronics;electric vehicle (EV);mobile charging stations;blockchain;consensus protocols;reinforcement learning","Blockchains;Charging stations;Reinforcement learning;Next generation networking;Consumer electronics;Electric vehicle charging;Consensus protocol","","11","","47","IEEE","20 Dec 2023","Feb. 2024","","IEEE","IEEE Journals"
"TokenGreen: A Versatile NFT Framework for Peer-to-Peer Energy Trading and Asset Ownership of Electric Vehicles","M. Naik; A. P. Singh; N. R. Pradhan; N. Kumar; A. Nayak; M. Guizani","Department of Computer Science and Engineering, National Institute of Technology Meghalaya, Shillong, India; Department of Computer Science and Engineering, National Institute of Technology Meghalaya, Shillong, India; School of Computer Science and Engineering, VIT-AP University, Amaravati, India; Department of Computer Science and Engineering, Thapar Institute of Engineering and Technology, Patiala, India; School of Electrical Engineering and Computer Science, University of Ottawa, Ottawa, Canada; Machine Learning Department, Mohamed Bin Zayed University of Artificial Intelligence, Abu Dhabi, UAE",IEEE Internet of Things Journal,"9 Apr 2024","2024","11","8","13636","13646","The rapid increase in the adoption of electric vehicles (EVs) and the installation of charging stations (CSs) are key components for bidirectional energy transfer between EVs and CSs. However, the traditional techniques of energy trading have issues of trust, scalability, traceability, provenance, and authenticity among energy prosumers. To address these challenges, particularly information imbalances between energy buyers and sellers, we propose TokenGreen, a novel framework that leverages blockchain and nonfungible tokens (NFTs) to enable participants to have ownership of energy assets through investments in distributed energy generation, distribution, and clean energy infrastructure, leading to trust and transparency management among the participants. The proposed framework uses Ethereum virtual machine (EVM), ERC-721 NFT, interplanetary file system (IPFS), and solidity smart contracts to develop an NFT-based energy marketplace. Various smart contracts, contract events, functions, and algorithms have been designed and integrated into the energy marketplace to facilitate the minting, creation, purchase, and resale of NFT tokens, including energy trading. To assess the performance of the proposal, experiments are performed using tools, such as Geth, Hyperledger Caliper, and the Ethereum SDK. The obtained results indicate that the average maximum latency for CreateToken reached 12.39 s, while BuyToken and ResellToken reached 11.02 s. Additionally, the average minimum latency for CreateToken, BuyToken, and ResellToken reached 10.46, 10.03, and 9.14 s, respectively. On average, memory consumption ranged from 640 to 775 MB, while CPU usage averaged between 30% and 55% for each function. The performance analysis indicates that CreateToken has low throughput, while BuyToken shows higher, and ResellToken exhibits the highest throughput due to fewer write operations. TokenGreen demonstrates superior performance compared to the existing state of the art, considering the mentioned parameters.","2327-4662","","10.1109/JIOT.2023.3340155","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10414974","Blockchain;caliper;electric vehicle (EV);Ethereum;nonfungible tokens (NFTs);P2P energy trading","Nonfungible tokens;Charging stations;Standards;Smart contracts;Distributed ledger;Throughput;Scalability","","25","","30","IEEE","26 Jan 2024","15 April15, 2024","","IEEE","IEEE Journals"
"BlockEV: Efficient and Secure Charging Station Selection for Electric Vehicles","S. M. Danish; K. Zhang; H. -A. Jacobsen; N. Ashraf; H. K. Qureshi","FUSÉE Laboratory, École de technologie supérieure, Montreal, QC, Canada; FUSÉE Laboratory, École de technologie supérieure, Montreal, QC, Canada; Middleware Systems Research Group, University of Toronto, Toronto, ON, Canada; TSSG, Waterford Institute of Technology, Waterford, Ireland; School of Electrical Engineering and Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, Pakistan",IEEE Transactions on Intelligent Transportation Systems,"12 Jul 2021","2021","22","7","4194","4211","The Intelligent Transportation System (ITS) has become essential for the economical and technological development of a country. The maturity of communication technologies (Vehicle to Infrastructure (V2I) and Vehicle to Vehicle (V2V)) and the amalgamation of smart grids, electric vehicles (EVs) and energy trading resulted in a storm of research opportunities for green ITS. In addition, the combination of vehicular communication technologies and ITS enable efficient selection of EV charging stations (CS) and scheduling EVs charging requirements in real-time. However, the untrusted centralized nature of energy markets and EV charging infrastructures result in several privacy and security threats to EV user's private information. These security and privacy threats include targeted advertisements, privacy leakage, selling data to third party, etc. In this work, we propose BlockEV, a blockchain-based efficient CS selection protocol for EVs to ensure the security and privacy of the EV users, availability of the reserved time slots at CSs, high Quality of Service (QoS) and enhanced EV user comfort. First, a blockchain-based framework is introduced to implement secure charging services and trusted reservation for EVs with the execution of smart contract. Second, we focus on the efficient CS selection and propose a mechanism for EVs to select the CS locally without sharing private information to CS, while fulfilling their service requirements. Evaluations show that the proposed BlockEV is scalable with significantly low blockchain transaction and storage overhead.","1558-0016","","10.1109/TITS.2020.3044890","Natural Sciences and Engineering Research Council of Canada (NSERC); Bitfarms Company(grant numbers:CRDPJ 533995-18); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9310692","Electric vehicles;blockchain;charging station;security and privacy;smart city","Protocols;Cascading style sheets;Electric vehicle charging;Privacy;Security;Optimal scheduling;Quality of service","","81","","64","IEEE","29 Dec 2020","July 2021","","IEEE","IEEE Journals"
"Consensus Mechanism for Blockchain-Enabled Vehicle-to-Vehicle Energy Trading in the Internet of Electric Vehicles","H. N. Abishu; A. M. Seid; Y. H. Yacob; T. Ayall; G. Sun; G. Liu","School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Computing and Artificial Intelligence, Southwestern University of Finance and Economics (SWUFE), Chengdu, China",IEEE Transactions on Vehicular Technology,"20 Jan 2022","2022","71","1","946","960","Electric Vehicles (EVs) have emerged as one of the most promising solutions for reducing carbon emissions in smart cities. However, due to the limited battery life of EVs and the scarcity of charging stations, EV drivers are not willing to travel long distances. Thus, blockchain-enabled energy trading (BET) has lately been used to securely share energy among EVs via wireless power transfer (WPT) technology. Blockchain is used to ensure the security and privacy of transactions between untrustworthy EVs in the WPT process. Nevertheless, previous works on BET have relied on existing consensus mechanisms built on the requirements of the cryptocurrency systems. These consensus mechanisms have faced significant challenges in maintaining high reliability, throughput, low latency, and network scalability in V2V energy trading that requires real-time services. To address these issues, we propose a new consensus mechanism that leverages the benefits of Practical Byzantine Fault Tolerance (PBFT) and Proof of Reputation (PoR) called PBFT-based PoR (PPoR). The energy trading process runs in a clustered vehicular network, where validator selection, block generation, and consensus processes are performed in each cluster. We adopt an incentive mechanism based on a Stackelberg game model to optimize the utility of sellers, buyers, and validator nodes, which motivates honest and cooperative nodes. The simulation results show that the proposed scheme reduces buyers’ costs by 21.1% while increasing the utility of sellers by 18%. Moreover, compared to benchmarks, the proposed scheme reduces the transaction processing delay and increases the throughput by more than 47.1% and 15.7%, respectively.","1939-9359","","10.1109/TVT.2021.3129828","National Natural Science Foundation of China(grant numbers:61806040,61771098); Department of Science and Technology of Sichuan Province(grant numbers:2020YFQ0025); Natural Science Foundation of Guangdong Province(grant numbers:2021A1515011866); Social Foundation of Zhongshan Sci-Tech Institute(grant numbers:420S36); Intelligent Terminal Key Laboratory of Sichuan Province(grant numbers:SCITLAB-1018); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9625735","Blockchain;consensus mechanism;electric vehicles;energy trading;WPT","Vehicle-to-grid;Energy exchange;Electric vehicle charging;Costs;Sun;Batteries;Wireless power transfer","","136","","56","IEEE","23 Nov 2021","Jan. 2022","","IEEE","IEEE Journals"
"A Blockchain-Powered Secure Architecture for Cyber Marketplaces of Electric Vehicles","Q. An; F. Jiang; C. Dong; S. Pal; J. Li; A. G. Neiat; W. Yeoh","Deakin Cyber Research and In-novation Centre and School of Information Technology, Deakin University, Geelong, VIC, Australia; Deakin Cyber Research and In-novation Centre and School of Information Technology, Deakin University, Geelong, VIC, Australia; Division of AI, School of Data Science, Lingnan University, Hong Kong, SAR, China; Deakin Cyber Research and In-novation Centre and School of Information Technology, Deakin University, Geelong, VIC, Australia; Deakin Cyber Research and In-novation Centre and School of Information Technology, Deakin University, Geelong, VIC, Australia; University of Queensland, Brisbane, QLD, Australia; Lee Shau Kee School of Business and Administration, Hong Kong Metropolitan University, Hong Kong, SAR, China",IEEE Transactions on Industry Applications,"20 May 2025","2025","61","3","4198","4213","The rapid expansion of electric vehicle (EV) infrastructure necessitates advanced solutions for secure and private authentication at EV charging stations. This research introduces a blockchain-based framework enhanced with self-sovereign identity (SSI) features, targeting the improvement of privacy and security in cyber marketplaces for EVs. The inclusion of SSI enables users to maintain full control over their digital identities, a critical advancement for authentication processes at EV charging stations. This system effectively addresses the growing privacy and security challenges within the expanding EV infrastructure. By integrating Zero-knowledge proof with self-sovereign identity, the framework not only ensures robust security but also preserves user privacy by enabling users to prove their identity without exposing sensitive personal information. We propose an efficient and user-friendly solution, showcasing its potential as a pioneering innovation in the field of EV charging infrastructure.","1939-9367","","10.1109/TIA.2025.3536421","Australian Government Research Training Program Scholarship; Faculty of Science, Engineering and Built Environment; Research and Innovation Centre; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10858451","Blockchain;electronic vehicles;Internet of Things;privacy;security;self-sovereign identity;zero knowledge proof","Blockchains;Security;Electric vehicle charging;Data privacy;Privacy;Interference;Ecosystems;Industries;Computer architecture;Charging stations","","7","","38","IEEE","30 Jan 2025","May-June 2025","","IEEE","IEEE Journals"
"Privacy-Preserving and Traceable Blockchain-Based Charging Payment Scheme for Electric Vehicles","Y. Wu; C. Zhang; L. Zhu","School of Cyberspace Science and Technology, Beijing Institute of Technology, Beijing, China; School of Cyberspace Science and Technology, Beijing Institute of Technology, Beijing, China; School of Cyberspace Science and Technology, Beijing Institute of Technology, Beijing, China",IEEE Internet of Things Journal,"11 Dec 2023","2023","10","24","21254","21265","With the rapid development of the global clean energy industry, the electric vehicle (EV) has gradually replaced the traditional fuel vehicle as a promising modern transportation tool due to its environmental friendliness and competitive prices. Its widespread adoption has led to a substantial increase in demand for subsidiary facilities, such as charging piles and stations. Despite the convenience and accessibility offered by charging services, the privacy of EV users may be compromised in the process, as malicious attackers can infer their true identities and consumption habits from service orders. Existing studies introduce blockchain technology into vehicle charging payment scenarios to protect the privacy of EV users. Unfortunately, it cannot achieve the desired full anonymity and may even hinder electricity regulators’ investigation of suspicious transactions and entities. Therefore, designing a vehicle charging payment scheme that simultaneously supports privacy protection and traceability is a challenge. To address these concerns, this article proposes a privacy-preserving and traceable blockchain-based charging payment (PTB-CP) scheme for EVs. It can protect users’ identity privacy and transaction unlinkability and track abnormal transactions or entities in exceptional circumstances. We conduct a comprehensive analysis of PTB-CP from both theoretical and experimental aspects. The analysis results demonstrate that our scheme can realize privacy protection, reliability and authentication, traceability, scalability, and high efficiency.","2327-4662","","10.1109/JIOT.2023.3283415","National Key Research and Development Program of China(grant numbers:2020YFB1006100); National Natural Science Foundation of China(grant numbers:62232002); Shandong Provincial Key Research and Development Program(grant numbers:2021CXGC010106); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10144579","Blockchain;mixing service;privacy preserving;smart contract;traceability;vehicle charging","Blockchains;Privacy;Internet of Things;Smart contracts;Electric vehicles;Scalability;Public key;Homomorphic encryption;Battery chargers","","23","","35","IEEE","6 Jun 2023","15 Dec.15, 2023","","IEEE","IEEE Journals"
"Dynamic Performance of Bidirectional EVSE for IoT-Based Monitoring and Cost Estimation for Reducing Grid Stress","S. Adhikary; P. Kumar Biswas; F. Ahmad; A. Boumaiza","Department of Electrical Engineering, National Institute of Technology Mizoram, Aizawl, Mizoram, India; Department of Electrical Engineering, National Institute of Technology Mizoram, Aizawl, Mizoram, India; Qatar Environment and Energy Research Institute, Hamad Bin Khalifa University, Qatar Foundation, Doha, Qatar; Qatar Environment and Energy Research Institute, Hamad Bin Khalifa University, Qatar Foundation, Doha, Qatar",IEEE Access,"4 Feb 2026","2026","14","","16686","16698","Electric vehicles (EV) utilise public charging stations that feature a bidirectional charger with a DC-DC converter attached to a DC bus voltage and an active front-end converter using a phase-locked loop (PLL). The minimum value of the integral time absolute error (ITAE) for the proportional integral (PI) parameter, and two optimal tuning methods, are compared with the PI controller’s error computation. The chargers are designed for vehicle-to-grid (V2G) use and support 7.2 kW and 30 kW modes that depend on the EV’s lithium-ion (Li-ion) battery’s discharge current limits. The total harmonic distortion (THD) is 2.81% of the 50 Hz fundamental frequency. 80% of the battery’s State of Charge (SOC) is used to go from constant current (CC) to constant voltage (CV) charging. SOC is increased by 0.1% from 11.99 to 16.35 seconds, depending on SOC level—the mode change from 7.56 to 10.28 kW results in a power deviation. The usage-based tariff (TOU) is computed using an Indian tariff model and other available tariff models. An Internet of Things (IoT) based control and monitoring system for EV charging stations has been developed on the ThingSpeak cloud, showcasing enhanced dynamic performance in synchronising DC link and inverter voltages. TOU calculations utilize a bidirectional electric vehicle supply equipment (EVSE) model based on Indian tariffs, and the paper validates the V2G system through simulations, estimating operational costs informed by system performance and IoT integration.","2169-3536","","10.1109/ACCESS.2026.3658837","Qatar National Library for open access funding; Qatar National Research Fund through Solar Trade (ST): An Equitable and Efficient Blockchain Enabled Renewable Energy Ecosystem–“Opportunities for Fintech to Scale up Green Finance for Clean Energy”(grant numbers:AICC05-0508-230001); Qatar Environment and Energy Research Institute; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11366619","Bi-directional converter;V2G;G2V;thingspeak;Simulink;TOU","Phase locked loops;Power harmonic filters;Vehicle-to-grid;Batteries;Inverters;Tariffs;State of charge;Voltage control;Monitoring;Costs","","","","46","CCBY","28 Jan 2026","2026","","IEEE","IEEE Journals"
"$\bm {P}^{\bm {3}}$: Privacy-Preserving Prediction of Real-Time Energy Demands in EV Charging Networks","B. Li; Y. Guo; Q. Du; Z. Zhu; X. Li; R. Lu","School of Cyber Science and Engineering, Sichuan University, Chengdu, China; School of Cyber Science and Engineering, Sichuan University, Chengdu, China; School of Cyber Science and Engineering, Sichuan University, Chengdu, China; School of Cyber Science and Engineering, Sichuan University, Chengdu, China; School of Cyber Science and Engineering, Sichuan University, Chengdu, China; Faculty of Computer Science, University of New Brunswick, Fredericton, NB, Canada",IEEE Transactions on Industrial Informatics,"8 Mar 2023","2023","19","3","3029","3038","Real-time and accurate prediction of charging pile energy demands in electric vehicle (EV) charging networks contributes significantly to load shedding and energy conservation. However, existing methods usually suffer from either data privacy leakage problems or heavy communication overheads. In this article, we propose a novel blockchain-based personalized federated deep learning scheme, coined $P^{3}$, for privacy-preserving energy demands prediction in EV charging networks. Specifically, we first design an accurate deep learning-based energy demands prediction model for charging piles, by making use of the CNN, BiLSTM, and attention mechanism. Second, we develop a blockchain-based hierarchical and personalized federated learning framework with a consensus committee, allowing charging piles to collectively establish a comprehensive energy demands prediction model in a low-latency and privacy-preserving way. Last, a CKKS cryptosystem based secure communication protocol is crafted to guarantee the confidentiality of model parameters while model training. Extensive experiments on two real-world datasets demonstrate the superiorities of the proposed $P^{3}$ scheme in accurately predicting real-time energy demands over state-of-the-art schemes. Further, the $P^{3}$ scheme can achieve reasonably low computational costs, compared with other homomorphic-based schemes, such as Paillier and BFV.","1941-0050","","10.1109/TII.2022.3182972","National Key Research and Development Program of China(grant numbers:2020YFB1805400); National Natural Science Foundation of China(grant numbers:62002248,62101368,U2133208); Sichuan Youth Science and Technology Innovation Team(grant numbers:2022JDTD0014); Sichuan Science and Technology Program(grant numbers:2022YFG 0193); Fundamental Research Funds for the Central Universities(grant numbers:YJ201933); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9795898","Blockchain;CKKS homomorphic encryption;electric vehicle (EV) charging networks;energy demands prediction;federated learning;privacy preservation","Predictive models;Collaborative work;Hidden Markov models;Data models;Electric vehicles;Load modeling;Electric vehicle charging","","36","","28","IEEE","14 Jun 2022","March 2023","","IEEE","IEEE Journals"
"Block-FeDL: Electric Vehicle Charging Load Forecasting Using Federated Learning and Blockchain","S. M. Danish; A. Hameed; A. Ranjha; G. Srivastava; K. Zhang","École de technologie supérieure, Montreal, QC, Canada; École de technologie supérieure, Montreal, QC, Canada; École de technologie supérieure, Montreal, QC, Canada; Department of Math and Computer Science, Brandon University, Brandon, BC, Canada; FUSÉE Laboratory, École de technologie supérieure, Montreal, QC, Canada",IEEE Transactions on Vehicular Technology,"14 Feb 2025","2025","74","2","2048","2056","The increased charging demand resulting from the rapid development of electric vehicles (EVs) poses various challenges to the stable operation of distribution networks and the smart grid. Due to stochastic EV charging behaviour, high charging demand at charging stations (CSs) elevates the load curve which may lead to a spatially imbalanced load demand. As such, forecasting the highly stochastic EV charging load considering an individual EV's unique charging behaviour can result in maintaining safe operation of the grid and distribution network. Therefore, in this work, we propose Block-FeDL, a blockchain-based Federated Learning (FL) approach for EV charging load forecasting considering private and sensitive charging information of each EV user. Thereafter, we use a Bidirectional Long Short Term Memory (BiLSTM) model within FeDL for predicting EV charging load patterns at each client. Moreover, instead of using a centralized server for global model aggregation, we use blockchain technology, where model aggregation is performed in a decentralized manner and local model parameters shared by FL clients can be validated and securely recorded. Lastly, the results show that Block-FeDL outperforms the second-best baseline method by 95%, 96%, and 77% in terms of mean square error (MSE), mean absolute error (MAE), and root mean square error (RMSE) for forecasting EV charging load.","1939-9359","","10.1109/TVT.2024.3406946","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10541078","Electric Vehicles;EV charging;Prediction;Federated Learning;Blockchain;Bidirectional LSTM","Load modeling;Electric vehicle charging;Predictive models;Data models;Long short term memory;Load forecasting;Blockchains","","22","","34","IEEE","29 May 2024","Feb. 2025","","IEEE","IEEE Journals"
